SYMBOL	gene_symbol	human_protein	viral_protein
OS9	orf8	OS9	orf8
MFGE8	orf8	MFGE8	orf8
NPC2	orf8	NPC2	orf8
INHBE	orf8	INHBE	orf8
PCSK6	orf8	PCSK6	orf8
LOX	orf8	LOX	orf8
DNMT1	orf8	DNMT1	orf8
COL6A1	orf8	COL6A1	orf8
CISD3	orf8	CISD3	orf8
ITGB1	orf8	ITGB1	orf8
PLAT	orf8	PLAT	orf8
STC2	orf8	STC2	orf8
PLOD2	orf8	PLOD2	orf8
PSME3	N	PSME3	N
DLD	N	DLD	N
DLD	nsp8	DLD	nsp8
DLD	nsp12	DLD	nsp12
DLD	orf9b	DLD	orf9b
RBMX	N	RBMX	N
HNRNPA0	N	HNRNPA0	N
G3BP2	N	G3BP2	N
G3BP1	N	G3BP1	N
HSPA1A	N	HSPA1A	N
HSPA1A	orf9b	HSPA1A	orf9b
HSPA1B	N	HSPA1B	N
HSPA1B	orf9b	HSPA1B	orf9b
RPL36	N	RPL36	N
RBM28	N	RBM28	N
RBM28	nsp4	RBM28	nsp4
DDX21	N	DDX21	N
MOV10	N	MOV10	N
UPF1	N	UPF1	N
SNIP1	N	SNIP1	N
FAM98A	N	FAM98A	N
LARP1	N	LARP1	N
PABPC4	N	PABPC4	N
CSNK2B	N	CSNK2B	N
CSNK2A2	N	CSNK2A2	N
PABPC1	N	PABPC1	N
RRP9	N	RRP9	N
ANGPT4	N	ANGPT4	N
PCNP	N	PCNP	N
CAVIN1	N	CAVIN1	N
SSBP1	N	SSBP1	N
HSPA9	N	HSPA9	N
CAVIN2	N	CAVIN2	N
SRPK1	N	SRPK1	N
SRPK1	nsp15	SRPK1	nsp15
SRPK2	N	SRPK2	N
EIF3K	nsp1	EIF3K	nsp1
CCDC124	nsp1	CCDC124	nsp1
EIF3H	nsp1	EIF3H	nsp1
EIF3M	nsp1	EIF3M	nsp1
EIF3I	nsp1	EIF3I	nsp1
EEF1A1	nsp1	EEF1A1	nsp1
LYAR	nsp1	LYAR	nsp1
LYAR	nsp4	LYAR	nsp4
LYAR	nsp15	LYAR	nsp15
EIF3E	nsp1	EIF3E	nsp1
EIF3F	nsp1	EIF3F	nsp1
EIF2S3	nsp1	EIF2S3	nsp1
ABCE1	nsp1	ABCE1	nsp1
EIF3D	nsp1	EIF3D	nsp1
EIF3L	nsp1	EIF3L	nsp1
TSR1	nsp1	TSR1	nsp1
TSR1	nsp15	TSR1	nsp15
EIF3B	nsp1	EIF3B	nsp1
EIF3C	nsp1	EIF3C	nsp1
POLA2	nsp1	POLA2	nsp1
PRIM2	nsp1	PRIM2	nsp1
PRIM1	nsp1	PRIM1	nsp1
POLA1	nsp1	POLA1	nsp1
PKP2	nsp1	PKP2	nsp1
COLGALT1	nsp1	COLGALT1	nsp1
RFC1	nsp2	RFC1	nsp2
RFC1	nsp4	RFC1	nsp4
RFC1	nsp15	RFC1	nsp15
RPS5	nsp2	RPS5	nsp2
RPS5	nsp4	RPS5	nsp4
RPS5	nsp15	RPS5	nsp15
RPS5	orf14	RPS5	orf14
RPS10	nsp2	RPS10	nsp2
RPS10	nsp15	RPS10	nsp15
RSL1D1	nsp2	RSL1D1	nsp2
RSL1D1	nsp15	RSL1D1	nsp15
HNRNPUL1	nsp2	HNRNPUL1	nsp2
GTPBP4	nsp2	GTPBP4	nsp2
GTPBP4	nsp15	GTPBP4	nsp15
MRPS22	nsp2	MRPS22	nsp2
MRPS22	nsp4	MRPS22	nsp4
POLRMT	nsp2	POLRMT	nsp2
POLRMT	nsp15	POLRMT	nsp15
DIMT1	nsp2	DIMT1	nsp2
DIMT1	nsp15	DIMT1	nsp15
NAT10	nsp2	NAT10	nsp2
NAT10	nsp4	NAT10	nsp4
NAT10	nsp13	NAT10	nsp13
