source_genesymbol	target_genesymbol	from	to	consensus_stimulation	consensus_inhibition
ATF7	FAM122C	P17544	Q6P4D5	1	0
ATF7	IGF1	P17544	P05019	1	0
ATF7	KANSL1	P17544	Q7Z3B3	1	0
ATF7	KDM4C	P17544	Q9H3R0	1	0
ATF7	KPNA6	P17544	O60684	1	0
ATF7	MOV10L1	P17544	Q9BXT6	1	0
ATF7	MSI2	P17544	B4DHE8	1	0
ATF7	NFIA	P17544	Q12857	1	0
ATF7	PHF21A	P17544	Q96BD5	1	0
ATF7	PTPRS	P17544	Q13332	1	0
ATF7	SND1	P17544	A0A140VK49	1	0
ATF7	TCF12	P17544	F5GY10	1	0
ATF7	TEAD1	P17544	P28347	1	0
ATF7	TNRC6B	P17544	A0A024R1N5	1	0
ATF7	TP53BP1	P17544	Q12888	1	0
ATF7	UBE2H	P17544	P62256	1	0
ATF7	XPO7	P17544	Q9UIA9	1	0
ATF7	ZFP36L1	P17544	A0A024R658	1	0
BACH1	HMOX1	O14867	P09601	0	1
BACH1	ALDOA	O14867	P04075	1	0
BACH1	ASAP1	O14867	A0A0A0MRE5	1	0
BACH1	CDK6	O14867	Q00534	1	0
BACH1	CLIP4	O14867	B7Z936	1	0
BACH1	DPH6	O14867	Q7L8W6	1	0
BACH1	GCLC	O14867	E1CEI4	1	0
BACH1	IFRD1	O14867	A4D0U1	1	0
BACH1	KCTD20	O14867	Q7Z5Y7	1	0
BACH1	LBR	O14867	Q14739	1	0
BACH1	MAFG	O14867	A0A024R8X1	1	0
BACH1	MAPT	O14867	P10636	1	0
BACH1	ME1	O14867	P48163	1	0
BACH1	MSANTD3	O14867	A0A024R171	1	0
BACH1	NQO2	O14867	B3KPX6	1	0
BACH1	PHLDA2	O14867	Q53GA4	1	0
BACH1	PIK3CD	O14867	O00329	1	0
BACH1	PSAP	O14867	P07602	1	0
BACH1	RFFL	O14867	Q8WZ73	1	0
BACH1	SLC48A1	O14867	Q6P1K1	1	0
BACH1	SLC7A11	O14867	Q9UPY5	1	0
BACH1	SLX4IP	O14867	Q5VYV7	1	0
BACH1	SMARCA4	O14867	A7E2E1	1	0
BACH1	SQSTM1	O14867	Q13501	1	0
BACH1	SYNJ2	O14867	A0A1W2PR85	1	0
BACH1	TNFAIP2	O14867	Q03169	1	0
BACH1	TRIM56	O14867	Q9BRZ2	1	0
BACH2	AP1B1	Q9BYV9	Q10567	1	0
BACH2	ARHGEF3	Q9BYV9	Q9NR81	1	0
BACH2	DAAM1	Q9BYV9	Q9Y4D1	1	0
BACH2	EGLN3	Q9BYV9	B3KVT0	1	0
BACH2	EPS15L1	Q9BYV9	Q9UBC2	1	0
BACH2	ERCC1	Q9BYV9	P07992	1	0
BACH2	ETS1	Q9BYV9	P14921	1	0
BACH2	FOXO3	Q9BYV9	O43524	1	0
BACH2	FOXP1	Q9BYV9	Q9H334	1	0
BACH2	GSTP1	Q9BYV9	P09211	1	0
BACH2	HIVEP2	Q9BYV9	P31629	1	0
BACH2	IFRD1	Q9BYV9	A4D0U1	1	0
