gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	comparison
IFI27	0.00000	1.71870	0.96100	0.85600	0.00000	ciliated_sars_vs_healthy
S100A4	0.00000	1.72412	0.95400	0.88900	0.00000	ciliated_sars_vs_healthy
RARRES3	0.00000	1.74329	0.95100	0.77900	0.00000	ciliated_sars_vs_healthy
CXCL1	0.00000	1.82714	0.61500	0.22100	0.00000	ciliated_sars_vs_healthy
PSCA	0.00000	1.95732	0.96800	0.76300	0.00000	ciliated_sars_vs_healthy
BPIFB1	0.00000	2.07845	0.83600	0.52800	0.00000	ciliated_sars_vs_healthy
AGR2	0.00000	2.11909	0.97100	0.91500	0.00000	ciliated_sars_vs_healthy
S100P	0.00000	2.38792	0.97000	0.69400	0.00000	ciliated_sars_vs_healthy
LYPD2	0.00000	2.43296	0.95900	0.70400	0.00000	ciliated_sars_vs_healthy
MUC5AC	0.00000	2.55627	0.76900	0.26800	0.00000	ciliated_sars_vs_healthy
LYNX1	0.00000	2.57901	0.88000	0.43700	0.00000	ciliated_sars_vs_healthy
TFF3	0.00000	2.58029	0.55400	0.16100	0.00000	ciliated_sars_vs_healthy
